review_text,sentiment
"Absolutely love this phone, the camera quality is outstanding and battery lasts all day long",positive
"Terrible product, stopped working after just two days of use. Complete waste of money",negative
"Good value for the price, does everything I need it to do without any issues",positive
"The screen quality is amazing, colors are vibrant and brightness is perfect for outdoor use",positive
"Worst purchase ever. The product arrived damaged and customer support was unhelpful",negative
"Really impressed with the build quality, feels premium in hand and looks great",positive
"Battery drains too fast, barely lasts half a day with normal usage. Very disappointing",negative
"Fast delivery and the product works exactly as described. Happy with my purchase",positive
"The sound quality of these earbuds is phenomenal, deep bass and clear treble",positive
"Cheap quality plastic, feels like it will break any moment. Not worth the price at all",negative
"Perfect for daily use, lightweight and comfortable to carry around everywhere",positive
"Product does not match the description at all. Feels like a cheap knockoff",negative
"Camera is incredible for the price range, takes sharp photos even in low light",positive
"Overheated within minutes of charging, very concerned about safety issues with this product",negative
"Smooth performance, no lag even with multiple apps running simultaneously",positive
"The display has dead pixels right out of the box. Quality control is terrible",negative
"Great product for the money, exceeded my expectations in every way possible",positive
"Paint started peeling off within a week. Extremely poor build quality",negative
"Excellent noise cancellation, blocks out all background noise perfectly during calls",positive
"The zipper broke on first use. Clearly this is not made to last very long",negative
"Very comfortable to wear for long hours, does not cause any ear fatigue at all",positive
"Received a used product in damaged packaging. Clearly this was a return item",negative
"The keyboard has great tactile feedback and the RGB lighting is beautiful",positive
"Software is buggy and crashes frequently. Needs serious updates to be usable",negative
"Impressive battery backup, easily lasts two full days with moderate usage habits",positive
"Connectivity issues right from day one, bluetooth keeps disconnecting randomly every few minutes",negative
"Clean and intuitive user interface, very easy to set up and start using immediately",positive
"Heating issue is a major concern, gets uncomfortably hot during normal gaming sessions",negative
"The fabric quality is premium and stitching is neat. Worth every single rupee spent",positive
"Delivery was delayed by two weeks and no updates were provided by the seller at all",negative
"Amazing picture quality on this TV, feels like a cinema experience in my living room",positive
"Remote control stopped working after a month, replacement was also faulty and cheap",negative
"Sleek design and portable, fits easily in my laptop bag without adding bulk",positive
"The mic quality is terrible, people on calls can barely hear me even at max volume",negative
"Fast charging works brilliantly, goes from zero to full charge in under an hour",positive
"Product looks nothing like the pictures shown online. Misleading advertisement by the seller",negative
"Runs all heavy games smoothly without frame drops. Great gaming performance overall",positive
"Screen started flickering after just one week of regular normal use. Very disappointed",negative
"Super comfortable mattress, best sleep I have had in months since buying this product",positive
"Arrived with scratches and dents all over, packaging was not protective enough at all",negative
"The processor is blazing fast, handles multitasking effortlessly without any slowdown",positive
"Returns process was a nightmare, took almost a month to get my refund back finally",negative
"Crystal clear audio quality make these the best speakers I have ever owned at this price",positive
"Not compatible with my device despite the listing saying otherwise. Waste of my money",negative
"Lightweight and sturdy design, perfect balance between durability and portability",positive
"The material feels very cheap and flimsy, not at all what I expected for the price",negative
"Excellent water resistance, survived an accidental drop in water without any damage",positive
"Instructions manual was missing and setup was extremely confusing and frustrating",negative
"Great suction power on this vacuum cleaner, picks up dust and pet hair effortlessly",positive
"Fan makes a loud annoying rattling noise even at the lowest speed setting",negative
"Beautiful finish and elegant design, gets compliments from everyone who sees it",positive
"Size was completely wrong compared to the chart provided on the product page",negative
"The AI features on this phone are genuinely useful and save me time every day",positive
"Touchscreen becomes unresponsive randomly, have to restart the device to fix it each time",negative
"Incredibly sharp display with true to life colors, perfect for photo and video editing work",positive
"Cheap quality cables included in the box, had to buy replacements on the very first day",negative
"Running this washing machine is extremely quiet, barely noticeable even during the spin cycle",positive
"Auto mode does not work properly at all, always selects the completely wrong settings",negative
"The drone camera takes stunning aerial footage, very stable even in moderately windy conditions",positive
"App keeps crashing every time I try to connect, rendering the smart features completely useless",negative
"Grip is excellent while running, these shoes provide outstanding traction on all surfaces",positive
"Color faded significantly after just one wash. Very poor quality dye used in this product",negative
"Best laptop I have owned so far, handles coding and video editing without any effort",positive
"Charging port became loose after a few weeks, now it wobbles and disconnects frequently",negative
"Keeps food warm for over eight hours straight, perfect for carrying lunch to the office daily",positive
"The clock on this watch runs fast, gains about two minutes every single day consistently",negative
"Absolutely brilliant sound stage, feels like I am at a live concert wearing these headphones",positive
"Lens cap does not fit properly left a scratch on the lens during transport already",negative
"This blender is a powerhouse, blends even tough vegetables into perfectly smooth mixtures",positive
"Motor burned out after just three months of light use. Terrible product longevity",negative
"Ergonomic design reduces wrist strain significantly, perfect for people who work long hours typing",positive
"Hinges feel very flimsy and loose, the laptop screen wobbles with the slightest touch",negative
"Accurate fitness tracking with heart rate monitor, helps me stay motivated on my health goals",positive
"GPS tracking is wildly inaccurate, shows me walking through buildings when I am on the road",negative
"The projector produces a sharp bright image even in rooms that are not completely dark",positive
"Bulb died after barely two weeks of regular use. Expected much longer lasting durability",negative
"Excellent thermal insulation, keeps beverages cold for the entire day even in hot summer weather",positive
"Lid leaks badly when tilted even slightly, made a mess inside my bag multiple times",negative
"This chair has transformed my work from home setup, incredible lumbar support and comfort all day",positive
"Armrests broke off within a month of purchase, clearly not designed for regular daily use",negative
"Picture clarity on this security camera is exceptional, can read license plates clearly at night",positive
"WiFi range is pathetic, signal drops just two rooms away from the router consistently",negative
"Remarkable print quality on this printer, documents and photos come out looking professional",positive
"Paper jams constantly, even with the recommended paper type and brand as listed in the manual",negative
"The robot vacuum maps the entire house perfectly and cleans thoroughly every single time",positive
"Dustbin is way too small, needs emptying after cleaning just one room which is inconvenient",negative
"Super bright flashlight with multiple modes, essential tool for camping and outdoor adventures",positive
"Battery in the flashlight drains even when it is turned off. Major design flaw in this product",negative
"This portable charger is a lifesaver during travel, charges my phone three times over fully",positive
"Gets extremely hot while charging devices, worried it might be a safety fire hazard",negative
"Whisper quiet air purifier that noticeably improves air quality within minutes of turning it on",positive
"Filter replacement is ridiculously expensive and needs changing far too frequently to be practical",negative
"The standing desk motor is powerful and transitions between heights very smoothly and quietly",positive
"Desk surface scratches extremely easily even with a mouse pad, looks old after one month",negative
"Incredible value for a mechanical keyboard, the cherry switches feel absolutely wonderful to type on",positive
"Keycaps started fading and the legends wore off within just two months of normal daily use",negative
"This monitor has zero noticeable ghosting, perfect for competitive fast paced gaming sessions",positive
"Stand is very wobbly and does not hold the monitor securely, feels unsafe on my desk",negative
"The rice cooker makes perfectly fluffy rice every single time with zero effort from me",positive
"Inner pot coating started peeling off after a few months raising serious health safety concerns",negative
"Noise cancelling on these headphones is next level, complete silence even in crowded noisy cafes",positive
"Headband puts too much clamping pressure on my head causing painful headaches after thirty minutes",negative
"Exceptional macro lens for smartphone photography, reveals incredible tiny details in subjects",positive
"Lens attachment scratched my phone camera ring leaving permanent marks on my expensive phone",negative
"This air fryer cooks food evenly and quickly with just a fraction of the oil traditionally needed",positive
"Basket coating chipped on second use, now I am worried about eating the coating material",negative
